1,3
1,3
1,3
1,3
4,2
4,2
5,3
5,3
6,4
6,4
8,1
8,1
9,3
9,3
11,3
11,3
12,2
13,3
14,4
15,3
16,4
16,1
18,2
18,4
19,3
20,4
22,1
27,9
28,8
28,6
28,8
36,2
36,2
39,7
42,8
42,8
43,9
46,2
48,1
50,2
50,1
52,8
52,2
56,8
56,8
58,1
58,8
60,2
62,1
64,2
64,1
66,8
66,2
70,8
70,8
72,1
72,8
74,2
76,1
78,2
78,1
80,8
84,8
84,8
86,1
86,8
90,1
91,13
94,8
96,7
97,7
98,8
99,13
103,13
104,7
108,7
108,6
110,8
116,2
118,16
118,8
122,8
122,10
123,13
126,7
128,7
129,15
134,2
136,7
138,8
140,8
141,7
142,1
143,13
145,13
148,7
150,7
150,8
154,8
156,1
162,8
164,8
168,8
171,15
176,8
178,8
245,6
249,10
254,15
255,6
263,6
271,32
274,15
281,14
285,18
304,25
308,15
310,9
315,14
319,2
332,15
341,20
341,14
345,1
347,2
351,24
368,9
380,7
382,7
383,30
390,45
393,8
396,9
398,53
407,8
410,6
412,9
415,11
419,8
420,5
489,9
490,10
491,11
493,13
504,8
510,12
510,10
517,13
526,8
530,2
540,20
546,36
547,15
551,23
572,1
580,20
584,12
585,27
598,36
605,11
606,8
611,13
622,24
627,17
628,14
633,12
638,7
651,11
651,19
658,14
664,13
723,2
723,2
723,2
734,13
742,21
754,33
757,36
761,40
765,1
767,2
768,1
770,2
773,8
781,13
782,21
790,25
799,1
805,37
807,7
813,1
819,20
821,20
823,10
829,12
833,20
840,1
841,2
842,2
843,9
847,8
871,31
880,41
886,49
888,37
900,1
902,2
904,1
978,16
978,16
978,16
989,27
1003,11
1003,11
1006,14
1008,46
1018,6
1023,11
1028,5
1030,18
1034,72
1037,45
1045,13
1067,21
1068,13
1072,16
1108,22
1115,35
1141,55
1205,2
1205,2
1211,8
1219,16
1228,25
1238,35
1244,11
1245,7
1251,1
1267,14
1270,19
1271,1
1279,8
1304,25
1308,37
1310,23
1337,7
1339,12
1353,22
1360,11
1375,2
1377,34
1382,39
1387,18
1393,1
1453,9
1454,10
1459,15
1474,30
1485,41
1493,2
1509,65
1511,14
1516,9
1534,8
1541,50
1552,28
1560,1
1562,2
1577,17
1586,26
1599,21
1604,11
1621,8
1629,7
1696,11
1696,11
1714,9
1716,11
1722,17
1728,10
1735,14
1755,18
1767,20
1795,10
1806,21
1810,39
1817,9
1851,26
1865,18
1866,19
1866,41
1867,17
1958,32
1963,37
1986,16
2004,16
2015,15
2037,9
2040,22
2042,24
2044,21
2056,28
2061,33
2073,9
2079,15
2085,8
2090,62
2119,32
2124,27
2143,8
2177,10
2187,20
2202,17
2221,16
2232,47
2248,13
2257,72
2323,64
2417,9
2426,18
2431,23
2447,39
2463,22
2468,17
2477,8
2501,17
2524,40
2547,16
2568,6
2576,14
2584,5
2663,14
2693,18
